Time;Fp2-F4;F4-C4;C4-P4;P4-O2;C4-A1
38.437.500;247.711;-38.614;-0.3510;19.383;161.935
38.457.031;242.521;-42.277;-0.8700;0.7479;149.420
38.476.563;238.248;-46.245;-12.668;-0.3510;134.768
38.496.094;236.722;-50.214;-15.720;-14.499;106.685
38.515.625;237.637;-54.182;-18.468;-27.930;75.549
38.535.156;240.995;-57.540;-18.773;-38.309;59.982
38.554.688;244.353;-58.150;-13.584;-36.477;67.002
38.574.219;244.658;-56.929;-0.5647;-26.404;83.791
38.593.750;240.690;-56.624;0.0763;-17.857;96.612
38.613.281;233.974;-58.455;0.6868;-10.226;100.580
38.632.813;225.733;-61.508;14.499;0.0763;103.327
38.652.344;217.796;-64.866;22.436;12.363;110.348
38.671.875;210.775;-69.139;27.015;16.941;118.895
38.691.406;205.586;-73.107;27.320;14.805;119.811
38.710.938;202.228;-75.549;26.709;11.447;104.853
38.730.469;201.618;-76.160;26.404;10.531;77.991
38.750.000;203.449;-75.244;26.709;13.889;54.792
38.769.531;207.723;-73.413;27.320;21.520;48.382
38.789.063;213.828;-71.581;25.183;27.320;54.487
38.808.594;219.017;-70.055;19.078;27.930;68.529
38.828.125;222.680;-68.223;12.057;29.151;90.507
38.847.656;225.427;-65.781;0.7479;34.646;108.211
38.867.188;227.259;-64.866;0.5037;40.751;114.621
38.886.719;228.175;-65.476;0.2900;42.582;100.580
38.906.250;229.396;-67.308;-0.0763;38.614;63.034
38.925.781;230.922;-69.750;-0.5647;31.593;18.162
38.945.313;230.311;-73.413;-10.531;23.046;-20.604
38.964.844;226.343;-77.381;-14.499;14.805;-44.414
38.984.375;219.017;-80.128;-16.941;11.752;-34.341
39.003.906;211.081;-81.044;-16.331;17.857;14.194
39.023.438;204.670;-82.265;-13.584;32.204;82.875
39.042.969;200.092;-84.402;-0.9921;48.687;149.725
39.062.500;197.344;-88.065;-0.7479;62.118;201.313
39.082.031;198.871;-91.422;-0.6258;72.192;232.753
39.101.563;203.755;-93.254;-0.6563;77.381;233.669
39.121.094;210.775;-94.170;-0.8089;76.770;193.987
39.140.625;219.322;-92.949;-11.142;73.107;123.779
39.160.156;228.480;-90.201;-14.499;64.866;44.414
39.179.688;236.722;-87.149;-19.078;50.519;-17.857
39.199.219;245.269;-84.096;-23.657;31.593;-49.603
39.218.750;254.731;-81.349;-27.320;11.447;-54.182
39.238.281;264.805;-78.907;-29.457;-0.8394;-39.835
39.257.813;275.488;-76.465;-30.983;-26.099;-19.078
39.277.344;286.172;-74.023;-30.678;-38.919;-0.8089
39.296.875;295.635;-71.886;-27.625;-45.635;-24.267
39.316.406;305.098;-69.139;-22.436;-48.382;-62.729
39.335.938;315.476;-65.781;-16.331;-49.298;-94.475
39.355.469;326.465;-62.424;-11.752;-48.382;-104.243
39.375.000;338.065;-59.371;-0.8394;-43.498;-104.548
39.394.531;349.359;-56.929;-0.6258;-34.951;-120.421
39.414.063;359.737;-54.487;-0.5342;-23.962;-152.473
39.433.594;367.063;-51.740;-0.6258;-12.363;-181.471
39.453.125;371.337;-49.908;-0.9310;-0.4426;-206.197
39.472.656;372.253;-51.129;-14.194;-0.2900;-240.995
39.492.188;370.421;-55.708;-21.520;-0.9005;-279.762
39.511.719;367.369;-63.339;-29.762;-20.299;-280.678
39.531.250;362.485;-72.802;-36.783;-34.341;-230.617
39.550.781;354.853;-81.349;-41.361;-47.161;-160.714
39.570.313;344.475;-88.065;-43.193;-56.013;-103.632
39.589.844;333.181;-93.254;-42.582;-59.982;-78.297
39.609.375;323.107;-96.612;-38.919;-56.624;-68.529
39.628.906;314.560;-98.138;-32.509;-48.382;-37.088
39.648.438;306.624;-98.443;-27.015;-41.972;12.668
39.667.969;301.435;-98.748;-23.352;-40.751;52.045
39.687.500;301.435;-100.885;-21.825;-45.024;70.055
39.707.031;304.487;-105.159;-23.657;-55.098;74.939
39.726.563;308.761;-112.790;-30.678;-73.413;71.276
39.746.094;315.171;-121.642;-41.667;-94.780;50.214
39.765.625;323.413;-128.968;-53.877;-111.569;-0.2289
39.785.156;329.212;-134.158;-64.866;-123.168;-81.654
39.804.688;331.960;-138.431;-73.107;-134.158;-144.536
39.824.219;331.044;-140.568;-77.991;-143.620;-151.557
39.843.750;327.076;-139.652;-80.128;-147.894;-115.537
39.863.281;321.276;-136.905;-80.739;-145.147;-70.971
39.882.813;317.613;-132.326;-78.297;-136.600;-30.067
39.902.344;318.223;-126.832;-72.192;-121.337;0.7173
39.921.875;322.802;-123.474;-63.645;-99.969;24.878
39.941.406;329.212;-122.863;-56.013;-77.076;0.0458
39.960.938;334.707;-124.695;-52.045;-60.287;-50.519
39.980.469;336.233;-128.053;-52.656;-57.540;-97.527
40.000.000;-59.371;-0.2595;-28.541;-18.468;-535.256
40.019.531;-98.748;-11.142;-17.247;0.4426;-548.382
40.039.063;-162.546;-31.288;-0.9615;26.404;-539.835
40.058.594;-233.669;-55.098;-0.5952;39.225;-531.593
40.078.125;-302.656;-77.991;-0.5952;39.530;-528.541
40.097.656;-366.148;-99.359;-0.7479;29.762;-516.941
40.117.188;-422.314;-118.590;-0.7479;17.857;-500.153
40.136.719;-469.017;-133.852;-0.4731;11.447;-481.838
40.156.250;-505.037;-144.536;-0.1068;0.9921;-467.796
40.175.781;-530.983;-150.946;0.1984;0.7173;-465.354
40.195.313;-546.856;-154.304;0.5037;0.1068;-471.154
40.214.844;-553.877;-155.220;0.7479;-0.7479;-486.416
40.234.375;-553.571;-155.830;0.7784;-19.078;-504.426
40.253.906;-545.940;-157.357;0.5342;-34.341;-487.637
40.273.438;-531.899;-158.883;0.0153;-51.435;-427.808
40.292.969;-516.331;-159.799;-0.6563;-70.055;-365.537
40.312.500;-503.816;-160.409;-13.584;-88.065;-320.055
40.332.031;-495.574;-159.188;-16.941;-96.001;-283.120
40.351.563;-490.079;-154.609;-13.584;-85.012;-252.595
40.371.094;-484.585;-147.894;-0.4731;-59.676;-237.332
40.390.625;-478.175;-142.705;0.2900;-35.562;-240.690
40.410.156;-473.291;-139.652;0.4731;-20.299;-261.142
40.429.688;-469.322;-136.600;0.2595;-0.9310;-306.013
40.449.219;-462.607;-132.631;0.0153;0.0153;-376.221
40.468.750;-454.060;-128.663;-0.3205;0.0153;-454.365
40.488.281;-448.260;-126.221;-10.836;-15.110;-507.784
40.507.813;-449.176;-126.526;-23.657;-44.109;-507.173
40.527.344;-455.586;-128.663;-38.919;-75.855;-456.197
40.546.875;-464.133;-129.884;-51.740;-101.496;-386.294
40.566.406;-473.596;-130.495;-59.066;-117.979;-327.076
40.585.938;-483.974;-130.800;-59.982;-123.779;-284.951
40.605.469;-493.437;-128.968;-55.403;-118.284;-258.394
40.625.000;-500.458;-125.305;-48.687;-103.327;-246.795
40.644.531;-504.121;-121.642;-41.056;-84.707;-237.332
40.664.063;-503.205;-119.200;-34.341;-65.171;-227.259
40.683.594;-498.321;-117.369;-27.930;-43.498;-220.849
40.703.125;-493.132;-116.453;-22.741;-21.215;-208.639
40.722.656;-489.774;-118.590;-20.299;-0.5342;-193.376
40.742.188;-488.248;-123.168;-21.825;0.1068;-189.408
40.761.719;-486.416;-128.968;-25.183;0.0763;-196.429
40.781.250;-484.280;-134.463;-29.457;-0.2289;-213.523
40.800.781;-482.143;-138.736;-35.562;-0.5952;-233.364
40.820.313;-478.480;-141.178;-43.498;-0.8394;-235.195
40.839.844;-472.985;-141.789;-50.519;-0.8089;-218.407
40.859.375;-468.101;-141.178;-55.098;-0.6258;-188.187
40.878.906;-465.049;-139.347;-56.013;-0.2900;-142.705
40.898.438;-463.217;-136.294;-55.098;0.1374;-89.286
40.917.969;-461.691;-132.021;-52.656;0.8394;-44.719
40.937.500;-458.333;-126.832;-49.908;14.499;-27.320
40.957.031;-454.060;-122.558;-49.603;14.499;-36.783
40.976.563;-452.534;-120.726;-51.740;0.6563;-50.824
40.996.094;-453.449;-120.116;-54.487;-0.5342;-60.897
41.015.625;-453.755;-117.674;-56.624;-17.552;-65.781
41.035.156;-451.923;-113.706;-56.319;-25.488;-75.855
41.054.688;-449.481;-110.653;-52.656;-26.404;-120.116
41.074.219;-448.565;-109.737;-47.161;-21.215;-210.775
41.093.750;-447.955;-110.653;-41.056;-10.531;-328.297
41.113.281;-447.955;-112.790;-36.477;0.1984;-445.208
41.132.813;-449.176;-116.453;-34.341;12.973;-545.330
41.152.344;-452.534;-121.642;-34.951;21.825;-618.284
41.171.875;-457.723;-128.358;-35.562;29.457;-659.188
41.191.406;-464.744;-135.379;-36.477;36.783;-675.366
41.210.938;-472.985;-142.399;-37.393;43.803;-675.977
41.230.469;-482.143;-148.810;-38.614;50.214;-669.261
41.250.000;-490.690;-155.220;-41.056;54.792;-657.662
41.269.531;-498.932;-160.714;-46.245;57.234;-640.873
41.289.063;-508.394;-165.904;-53.266;58.455;-630.189
41.308.594;-519.689;-170.788;-61.508;58.455;-631.410
41.328.125;-529.457;-174.756;-68.529;56.929;-632.631
41.347.656;-532.204;-175.672;-71.886;54.487;-627.747
41.367.188;-524.267;-173.230;-70.971;51.129;-616.453
41.386.719;-508.089;-168.651;-66.392;46.245;-584.402
41.406.250;-490.995;-164.072;-60.897;39.225;-527.930
41.425.781;-481.532;-161.325;-56.624;29.457;-466.575
41.445.313;-482.753;-159.188;-54.182;19.383;-409.493
41.464.844;-493.132;-156.746;-52.656;12.057;-369.811
41.484.375;-508.394;-153.694;-51.129;0.8089;-367.979
41.503.906;-526.404;-151.252;-49.908;0.5647;-378.968
41.523.438;-546.551;-149.420;-48.993;0.3816;-369.506
41.542.969;-569.444;-148.810;-48.382;0.4426;-342.643
41.562.500;-593.559;-147.894;-48.382;0.8394;-311.813
41.582.031;-613.706;-144.841;-48.993;14.194;-285.867
41.601.563;-627.747;-139.957;-49.298;21.520;-269.383
41.621.094;-638.431;-136.600;-48.687;29.762;-262.057
41.640.625;-650.031;-136.600;-47.466;37.088;-256.868
41.660.156;-663.462;-138.736;-45.330;44.414;-236.416
41.679.688;-676.893;-141.789;-43.193;51.129;-200.702
41.699.219;-688.797;-145.147;-41.056;57.234;-178.724
41.718.750;-699.786;-149.420;-38.919;61.203;-188.797
41.738.281;-709.860;-154.609;-37.088;63.339;-211.386
41.757.813;-719.933;-161.020;-35.562;63.339;-217.796
41.777.344;-733.669;-168.346;-34.646;60.287;-205.891
41.796.875;-751.984;-176.282;-34.646;54.792;-188.492
41.816.406;-771.215;-183.303;-36.172;48.077;-173.840
41.835.938;-785.867;-187.271;-36.477;41.667;-154.609
41.855.469;-795.330;-186.355;-35.256;36.783;-119.811
41.875.000;-804.487;-182.998;-34.341;33.425;-92.033
41.894.531;-817.308;-179.640;-35.562;29.762;-111.264
41.914.063;-832.570;-177.503;-39.225;25.794;-164.072
41.933.594;-847.527;-175.672;-43.193;20.604;-207.112
41.953.125;-859.737;-173.535;-46.856;14.499;-225.427
41.972.656;-868.590;-170.788;-49.603;0.9310;-220.238
41.992.188;-876.832;-169.261;-50.214;0.7784;-216.575
42.011.719;-887.515;-169.261;-48.993;0.8700;-248.932
42.031.250;-899.420;-170.482;-46.856;0.9005;-285.562
42.050.781;-907.051;-171.093;-43.498;0.9921;-270.910
42.070.313;-905.525;-169.872;-37.698;14.805;-219.933
42.089.844;-897.283;-166.514;-29.762;25.488;-174.756
42.109.375;-885.989;-160.409;-18.773;45.330;-142.399
42.128.906;-871.032;-151.862;-0.5647;72.802;-120.726
42.148.438;-852.106;-143.010;0.4426;96.612;-114.621
42.167.969;-832.265;-137.210;0.8394;106.380;-123.168
42.187.500;-815.781;-133.547;0.5647;99.969;-135.989
42.207.031;-801.435;-130.800;-0.2289;78.602;-133.852
42.226.563;-785.562;-128.053;-14.805;46.856;-106.685
42.246.094;-765.415;-124.389;-27.930;12.668;-65.171
42.265.625;-744.048;-119.505;-41.056;-19.689;-32.204
42.285.156;-724.817;-114.316;-52.045;-48.382;-0.8700
42.304.688;-706.197;-107.601;-58.455;-65.476;15.415
42.324.219;-685.134;-98.443;-58.150;-67.613;43.193
42.343.750;-660.714;-88.065;-54.182;-61.203;77.076
42.363.281;-636.905;-80.128;-52.045;-58.150;108.822
42.382.813;-617.063;-76.465;-52.656;-62.729;125.611
42.402.344;-600.275;-75.244;-52.350;-66.087;134.463
42.421.875;-581.960;-71.886;-46.856;-59.066;141.178
42.441.406;-557.845;-64.255;-35.256;-39.835;141.789
42.460.938;-528.541;-53.266;-19.994;-16.026;132.021
42.480.469;-498.626;-41.667;-0.5647;0.1984;114.316
42.500.000;-469.933;-29.457;0.5037;11.752;98.443
42.519.531;-443.987;-17.247;13.889;14.194;84.707
42.539.063;-420.788;-0.6258;22.131;14.194;75.244
42.558.594;-400.336;0.3816;30.067;16.941;78.297
42.578.125;-378.663;14.499;37.698;24.573;88.980
42.597.656;-352.106;26.099;44.719;34.951;95.391
42.617.188;-322.497;36.783;48.687;42.277;99.359
42.636.719;-294.109;42.277;46.551;39.225;108.822
42.656.250;-270.299;41.972;38.614;23.962;114.316
42.675.781;-248.932;38.614;27.625;0.1068;114.316
42.695.313;-226.648;35.562;15.110;-23.657;119.200
42.714.844;-203.144;33.730;0.3510;-45.635;112.485
42.734.375;-181.471;33.425;-0.6563;-60.592;99.969
42.753.906;-163.156;33.120;-14.805;-69.444;121.337
42.773.438;-146.978;34.646;-18.162;-72.192;177.503
42.792.969;-129.579;39.225;-15.720;-67.308;232.753
42.812.500;-112.179;45.635;-10.531;-58.455;267.857
42.832.031;-96.306;52.045;-0.3816;-50.519;295.330
42.851.563;-80.739;57.234;0.3205;-44.109;333.486
42.871.094;-65.476;61.203;10.226;-39.225;378.358
42.890.625;-49.908;64.560;18.162;-34.646;419.567
42.910.156;-30.067;67.918;27.625;-29.762;453.755
42.929.688;-0.5037;72.192;38.309;-25.183;464.438
42.949.219;21.520;77.076;48.993;-21.215;429.029
42.968.750;44.414;81.044;58.150;-17.857;351.496
42.988.281;61.813;83.791;64.866;-16.941;272.131
43.007.813;76.160;86.844;70.055;-17.857;222.680
43.027.344;91.422;91.117;75.244;-19.078;205.281
43.046.875;110.958;96.612;80.433;-19.994;227.869
43.066.406;133.242;102.106;83.181;-21.520;281.288
43.085.938;153.388;105.769;81.654;-25.488;320.971
43.105.469;169.872;107.601;75.244;-30.678;318.223
43.125.000;183.913;107.906;66.697;-37.088;293.498
43.144.531;192.460;105.769;57.845;-44.414;279.151
43.164.063;191.545;102.106;49.908;-49.298;291.056
43.183.594;181.471;98.443;43.498;-49.298;320.665
43.203.125;168.651;96.306;39.225;-44.719;335.623
43.222.656;161.630;97.222;38.919;-38.614;335.317
43.242.188;164.072;100.885;42.888;-33.425;340.812
43.261.719;173.840;106.380;50.519;-31.288;336.233
43.281.250;186.966;111.874;59.676;-31.593;311.508
43.300.781;201.313;115.842;68.529;-32.814;286.477
43.320.313;216.575;116.758;76.465;-33.425;271.215
43.339.844;235.195;116.453;83.486;-32.204;274.267
43.359.375;258.089;117.063;89.896;-29.457;276.709
43.378.906;283.730;118.284;94.475;-25.794;244.963
43.398.438;307.845;120.421;97.527;-22.741;207.112
43.417.969;330.128;124.695;98.748;-21.520;198.565
43.437.500;352.717;130.495;98.748;-23.352;195.208
43.457.031;377.442;136.905;99.054;-27.015;173.230
43.476.563;402.473;143.315;100.275;-30.678;147.894
43.496.094;419.872;148.810;101.190;-34.646;137.515
43.515.625;425.366;151.557;99.664;-38.309;133.547
43.535.156;423.535;152.167;96.001;-40.751;115.842
43.554.688;420.177;151.862;90.507;-41.361;82.570
43.574.219;416.819;151.862;84.402;-40.446;56.013
43.593.750;411.630;151.557;78.297;-38.004;47.161
43.613.281;402.167;150.641;71.886;-32.814;37.393
43.632.813;388.736;150.031;65.781;-24.573;-15.110
43.652.344;373.779;151.557;60.287;-12.973;-105.769
43.671.875;362.179;156.441;56.013;-0.1068;-151.862
43.691.406;356.685;164.072;52.656;0.8700;-121.642
43.710.938;355.769;173.230;50.519;14.499;-50.824
43.730.469;357.295;183.913;51.435;15.415;48.077
43.750.000;362.485;193.987;54.487;12.057;165.293
43.769.531;372.558;202.534;59.676;0.6258;273.962
43.789.063;386.905;210.470;66.697;0.1984;355.769
43.808.594;402.167;217.186;75.855;0.0153;399.420
43.828.125;413.156;219.933;84.096;-0.1374;416.514
43.847.656;417.125;216.270;89.591;-0.2595;433.608
43.867.188;415.598;208.028;94.475;0.2289;453.755
43.886.719;411.325;198.260;100.275;18.162;447.955
43.906.250;408.883;189.408;106.380;40.751;378.968
43.925.781;411.020;181.471;111.264;65.171;271.215
43.945.313;417.430;175.977;113.400;87.454;210.165
43.964.844;427.198;172.314;111.264;104.853;219.322
43.984.375;438.187;169.567;105.159;115.232;258.700
44.003.906;445.818;166.514;96.612;117.674;303.266
44.023.438;449.481;164.072;88.065;117.063;331.349
44.042.969;451.618;163.767;81.349;116.453;332.570
44.062.500;452.228;166.209;78.297;118.590;325.244
44.082.031;451.007;171.703;80.128;124.389;327.381
44.101.563;447.955;179.945;84.096;129.884;346.612
44.121.094;441.850;188.492;86.538;127.442;367.674
44.140.625;429.640;194.292;84.402;109.432;359.127
44.160.156;413.462;196.123;76.465;77.076;303.266
44.179.688;398.199;197.039;66.392;41.667;216.575
44.199.219;387.210;197.955;56.624;11.142;138.736
44.218.750;378.968;197.650;45.024;-20.910;81.654
44.238.281;371.032;193.987;28.541;-60.287;44.414
44.257.813;364.316;187.882;10.226;-96.612;40.751
44.277.344;360.653;181.166;-0.5037;-119.200;58.150
44.296.875;360.043;173.535;-16.636;-127.747;71.886
44.316.406;361.569;164.683;-24.878;-127.442;77.991
44.335.938;363.706;154.609;-33.120;-125.611;70.665
44.355.469;365.232;143.010;-43.193;-126.221;56.319
44.375.000;364.316;132.021;-53.266;-123.474;55.098
44.394.531;360.958;124.389;-59.371;-110.043;58.761
44.414.063;355.769;120.726;-62.118;-87.759;64.560
44.433.594;348.138;117.979;-63.950;-63.034;91.728
44.453.125;337.759;114.011;-65.171;-36.783;136.600
